State,State,Total citizen,Total  ,Percent registered (18+),moe_reg_total,Total  ,Percent voted (18+),moe_vot_total
ILLINOIS,.Total,"8,640","6,437",69.2,1.4,"5,672",61,1.5
ILLINOIS,.18 to 24,"1,024",565,49.6,4.3,421,36.9,4.2
ILLINOIS,.25 to 44,"3,352","2,490",66.9,2.3,"2,194",58.9,2.4
ILLINOIS,.45 to 64,"2,793","2,219",75.6,2.3,"2,056",70.1,2.5
ILLINOIS,.65 to 74,699,571,79.5,4.4,510,71,5
ILLINOIS,.75+,772,592,75.2,4.5,491,62.3,5.1
INDIANA,.Total,"4,435","3,031",66.8,1.9,"2,598",57.3,2
INDIANA,.18 to 24,564,296,51.8,5.7,232,40.7,5.6
INDIANA,.25 to 44,"1,659","1,041",59.8,3.2,868,49.9,3.2
INDIANA,.45 to 64,"1,512","1,119",73.5,3.1,975,64.1,3.3
INDIANA,.65 to 74,368,295,79.8,5.7,269,72.7,6.3
INDIANA,.75+,331,280,84.2,5.4,253,76.1,6.3
IOWA,.Total,"2,136","1,674",75.7,1.8,"1,522",68.8,2
IOWA,.18 to 24,294,209,66.3,5.4,183,58,5.6
IOWA,.25 to 44,713,538,71.2,3.3,474,62.7,3.5
IOWA,.45 to 64,705,574,80.2,3,541,75.7,3.2
IOWA,.65 to 74,188,152,79.8,5.9,144,75.3,6.3
IOWA,.75+,235,201,85.5,4.6,181,76.8,5.6
KANSAS,.Total,"1,851","1,338",67.2,2.1,"1,188",59.7,2.2
KANSAS,.18 to 24,248,139,48.4,5.8,101,35.1,5.5
KANSAS,.25 to 44,643,421,58.2,3.6,371,51.3,3.6
KANSAS,.45 to 64,655,525,78.6,3.1,488,73,3.4
KANSAS,.65 to 74,129,112,84.2,6.2,105,78.7,6.9
KANSAS,.75+,175,141,78.8,6,124,69,6.8
KENTUCKY,.Total,"2,969","2,231",73.3,2.1,"1,930",63.4,2.2
KENTUCKY,.18 to 24,346,229,63.1,6.5,193,53.1,6.7
KENTUCKY,.25 to 44,"1,098",778,67.8,3.5,686,59.8,3.7
KENTUCKY,.45 to 64,"1,006",811,80.1,3.2,710,70.1,3.7
KENTUCKY,.65 to 74,296,243,82,5.7,216,72.8,6.7
KENTUCKY,.75+,222,171,76.2,7.3,126,56.2,8.5
LOUISIANA,.Total,"3,218","2,413",73.6,2.2,"2,067",63.1,2.4
LOUISIANA,.18 to 24,481,288,58.1,6.4,227,46,6.5
LOUISIANA,.25 to 44,"1,160",898,74.5,3.6,779,64.6,4
LOUISIANA,.45 to 64,"1,105",848,76.7,3.7,741,67,4.1
LOUISIANA,.65 to 74,229,187,81.6,7.4,178,77.9,7.9
LOUISIANA,.75+,242,192,79.4,7.5,142,58.6,9.2
MAINE,.Total,"1,007",824,80.6,1.6,736,72,1.8
MAINE,.18 to 24,125,88,69.4,5.3,74,58.6,5.7
MAINE,.25 to 44,334,267,78.3,2.9,238,69.8,3.2
MAINE,.45 to 64,362,312,84.9,2.4,285,77.4,2.8
MAINE,.65 to 74,87,75,(B),(B),68,(B),(B)
MAINE,.75+,98,82,(B),(B),71,(B),(B)
MARYLAND,.Total,"3,678","2,676",66.2,2,"2,413",59.7,2.1
MARYLAND,.18 to 24,371,207,47.8,6.5,186,42.9,6.5
MARYLAND,.25 to 44,"1,362",952,60.2,3.4,830,52.5,3.4
MARYLAND,.45 to 64,"1,348","1,072",75.2,3.1,"1,011",70.9,3.3
MARYLAND,.65 to 74,310,241,77.2,6.5,212,67.9,7.2
MARYLAND,.75+,287,204,70.3,7.3,174,60.1,7.8
MASSACHUSETTS,.Total,"4,497","3,483",72,1.8,"3,085",63.7,1.9
MASSACHUSETTS,.18 to 24,606,348,52.6,5.3,277,41.8,5.2
MASSACHUSETTS,.25 to 44,"1,601","1,196",67.1,3,"1,044",58.6,3.2
MASSACHUSETTS,.45 to 64,"1,476","1,248",80.4,2.7,"1,140",73.4,3.1
MASSACHUSETTS,.65 to 74,415,360,84.2,4.8,330,77.2,5.5
MASSACHUSETTS,.75+,399,331,79.4,5.4,294,70.6,6.1
MICHIGAN,.Total,"7,177","5,364",72,1.5,"4,818",64.7,1.6
MICHIGAN,.18 to 24,986,644,61.6,4.3,539,51.5,4.5
MICHIGAN,.25 to 44,"2,530","1,865",69.8,2.6,"1,631",61.1,2.7
MICHIGAN,.45 to 64,"2,486","1,928",75.8,2.5,"1,788",70.3,2.6
MICHIGAN,.65 to 74,626,488,76.5,4.9,462,72.5,5.1
MICHIGAN,.75+,549,438,79.2,5,398,71.8,5.5
MINNESOTA,.Total,"3,645","3,080",81.8,1.6,"2,887",76.7,1.8
MINNESOTA,.18 to 24,547,407,71.1,4.8,376,65.8,5
MINNESOTA,.25 to 44,"1,302","1,090",79.9,2.8,"1,031",75.5,3
MINNESOTA,.45 to 64,"1,274","1,128",86.5,2.4,"1,059",81.2,2.7
MINNESOTA,.65 to 74,249,222,88.8,5.1,206,82.5,6.1
MINNESOTA,.75+,273,233,84.8,5.5,214,78,6.3
MISSISSIPPI,.Total,"2,049","1,510",72.5,2.4,"1,263",60.7,2.6
MISSISSIPPI,.18 to 24,270,178,63.5,6.9,140,50,7.2
MISSISSIPPI,.25 to 44,771,554,69.8,3.9,456,57.4,4.2
MISSISSIPPI,.45 to 64,673,500,74.2,4.1,430,63.8,4.5
MISSISSIPPI,.65 to 74,171,145,84.7,6.6,120,70.2,8.4
MISSISSIPPI,.75+,163,133,81.8,7.3,117,71.9,8.5
MISSOURI,.Total,"4,106","3,336",78.6,1.8,"2,815",66.3,2
MISSOURI,.18 to 24,519,343,63.6,5.8,269,49.9,6.1
MISSOURI,.25 to 44,"1,483","1,193",75.7,3.1,965,61.2,3.5
MISSOURI,.45 to 64,"1,305","1,110",84.3,2.8,966,73.3,3.4
MISSOURI,.65 to 74,441,373,82.4,5.1,342,75.7,5.7
MISSOURI,.75+,357,316,88.6,4.7,273,76.3,6.3
MONTANA,.Total,687,519,75.1,2.2,482,69.9,2.4
MONTANA,.18 to 24,90,52,(B),(B),41,(B),(B)
MONTANA,.25 to 44,220,152,68.6,4.2,139,62.8,4.4
MONTANA,.45 to 64,254,207,81.6,3.3,198,77.8,3.5
MONTANA,.65 to 74,61,53,(B),(B),53,(B),(B)
MONTANA,.75+,62,54,(B),(B),52,(B),(B)
NEBRASKA,.Total,"1,215",918,70.9,2.1,793,61.3,2.2
NEBRASKA,.18 to 24,186,102,50.3,5.8,78,38.6,5.6
NEBRASKA,.25 to 44,412,300,65.6,3.7,252,55.1,3.8
NEBRASKA,.45 to 64,405,336,79.9,3.2,301,71.8,3.6
NEBRASKA,.65 to 74,106,87,80.7,6.3,79,73.9,7
NEBRASKA,.75+,106,94,87.4,5.3,82,76.6,6.7
NEVADA,.18 to 24,187,103,47.8,5.7,83,38.4,5.5
NEVADA,.25 to 44,535,329,48.9,3.2,291,43.3,3.2
NEVADA,.45 to 64,501,359,65.9,3.4,335,61.5,3.5
NEVADA,.65 to 74,144,106,69.4,6.2,99,64.6,6.5
NEVADA,.75+,110,68,60.2,7.7,63,55.9,7.8
NEW HAMPSHIRE,.Total,948,716,72.9,1.9,677,68.9,2
NEW HAMPSHIRE,.18 to 24,97,58,56.2,6.5,54,52.8,6.5
NEW HAMPSHIRE,.25 to 44,361,259,68.7,3.2,241,64.1,3.3
