STATE,STATE,Total,Percent citizen,Confidence interval,Total,Percent registered (18+),Confidence interval,Total,Percent voted (18+),Confidence interval
WISCONSIN,.Total,"3,755",96.7,0.9,"2,970",76.5,2.2,"2,632",67.8,2.5
WISCONSIN,.18 to 24,439,94.5,3.5,279,60.0,7.5,223,47.8,7.6
WISCONSIN,.25 to 44,"1,522",95.8,1.7,"1,176",74.0,3.6,"1,024",64.5,4.0
WISCONSIN,.45 to 64,"1,207",97.7,1.4,990,80.1,3.7,905,73.2,4.2
WISCONSIN,.65 to 74,280,99.2,1.8,260,92.0,5.3,243,86.1,6.8
WISCONSIN,.75+,306,98.1,2.5,265,85.0,6.7,238,76.3,7.9
WYOMING,.Total,348,99.3,0.4,240,68.6,2.5,219,62.5,2.6
WYOMING,.18 to 24,46,(B),(B),22,(B),(B),19,(B),(B)
WYOMING,.25 to 44,131,98.5,1.1,88,65.9,4.2,82,61.3,4.3
WYOMING,.45 to 64,118,100.0,0.0,90,75.8,4.0,83,70.0,4.3
WYOMING,.65 to 74,27,(B),(B),22,(B),(B),17,(B),(B)
WYOMING,.75+,26,(B),(B),19,(B),(B),18,(B),(B)
,,,,,,,,,,
,,,,,,,,,,
